Time,Angle
37.61,0.08
37.62,0.05
37.63,0.06
37.64,0.09
37.65,0.06
37.66,0.17
37.67,0.13
37.68,0.01
37.69,0.04
37.70,0.11
37.71,0.10
37.72,0.06
37.73,0.03
37.74,0.07
37.75,0.11
37.76,0.07
37.77,0.04
37.78,0.07
37.79,0.09
37.80,0.08
37.81,0.04
37.82,0.04
37.83,0.07
37.84,0.08
37.85,0.05
37.86,0.04
37.87,0.05
37.88,0.09
37.89,0.06
37.90,0.04
37.91,0.05
37.92,0.08
37.93,0.07
37.94,0.05
37.95,0.07
37.96,0.07
37.97,0.05
37.98,0.06
37.99,0.07
38.00,0.06
38.01,0.04
38.02,0.05
38.03,0.07
38.04,0.07
38.05,0.06
38.06,0.05
38.07,0.06
38.08,0.08
38.09,0.06
38.10,0.03
38.11,0.07
38.12,0.08
38.13,0.06
38.14,0.05
38.15,0.04
38.16,0.07
38.17,0.10
38.18,0.05
38.19,0.05
38.20,0.07
38.21,0.06
38.22,0.07
38.23,0.07
38.24,0.06
38.25,0.06
38.26,0.06
38.27,0.07
38.28,0.06
38.29,0.06
38.30,0.05
38.31,0.05
38.32,0.06
38.33,0.05
38.34,0.09
38.35,0.04
38.36,0.03
38.37,0.08
38.38,0.07
38.39,0.07
38.40,0.03
38.41,0.03
38.42,0.06
38.43,0.07
38.44,0.06
38.45,0.03
38.46,0.04
38.47,0.09
38.48,0.08
38.49,0.04
38.50,0.04
38.51,0.05
38.52,0.07
38.53,0.05
38.54,0.05
38.55,0.07
38.56,0.04
38.57,0.02
38.58,0.09
38.59,0.06
38.60,0.04
38.61,0.07
38.62,0.06
38.63,0.05
38.64,0.05
38.65,0.04
38.66,0.05
38.67,0.07
38.68,0.07
38.69,0.04
38.70,0.05
38.71,0.07
38.72,0.04
38.73,0.05
38.74,0.05
38.75,0.06
38.76,0.06
38.77,0.03
38.78,0.05
38.79,0.08
38.80,0.05
38.81,0.04
38.82,0.05
38.83,0.06
38.84,0.05
38.85,0.06
38.86,0.06
38.87,0.04
38.88,0.04
38.89,0.11
38.90,0.13
38.91,-0.06
38.92,-0.00
38.93,0.11
38.94,0.13
38.95,0.02
38.96,-0.01
38.97,0.07
38.98,0.14
38.99,0.07
39.00,0.02
39.01,0.06
39.02,0.11
39.03,0.09
39.04,0.05
39.05,0.07
39.06,0.10
39.07,0.09
39.08,0.06
39.09,0.07
39.10,0.09
39.11,0.09
39.12,0.07
39.13,0.07
39.14,0.11
39.15,0.12
39.16,0.08
39.17,0.06
39.18,0.09
39.19,0.11
39.20,0.10
39.21,0.06
39.22,0.07
39.23,0.10
39.24,0.10
39.25,0.09
39.26,0.07
39.27,0.08
39.28,0.09
39.29,0.08
39.30,0.09
39.31,0.08
39.32,0.08
39.33,0.08
39.34,0.09
39.35,0.09
39.36,0.09
39.37,0.10
39.38,0.08
39.39,0.09
39.40,0.09
39.41,0.09
39.42,0.07
39.43,0.08
39.44,0.07
39.45,0.03
39.46,0.05
39.47,0.20
39.48,0.13
39.49,0.00
39.50,0.03
39.51,0.14
39.52,0.12
39.53,0.03
39.54,0.01
39.55,0.08
39.56,0.11
39.57,0.05
39.58,0.02
39.59,0.08
39.60,0.09
39.61,0.06
39.62,0.05
39.63,0.07
39.64,0.06
39.65,0.07
39.66,0.07
39.67,0.07
39.68,0.05
39.69,0.05
39.70,0.06
39.71,0.06
39.72,0.06
39.73,0.07
39.74,0.07
39.75,0.05
39.76,0.03
39.77,0.05
39.78,0.06
39.79,0.05
39.80,0.05
39.81,0.07
39.82,0.08
39.83,0.05
39.84,0.04
39.85,0.05
39.86,0.09
39.87,0.05
39.88,0.05
39.89,0.12
39.90,0.09
39.91,-0.04
39.92,0.03
39.93,0.12
39.94,0.08
39.95,0.02
39.96,0.04
39.97,0.08
39.98,0.10
39.99,0.07
40.00,0.03
40.01,0.09
40.02,0.09
40.03,0.07
40.04,0.03
40.05,0.09
40.06,0.09
40.07,0.07
40.08,0.06
40.09,0.09
40.10,0.09
40.11,0.09
40.12,0.06
40.13,0.11
40.14,0.10
40.15,0.09
40.16,0.08
40.17,0.11
40.18,0.10
40.19,0.07
40.20,-0.01
40.21,0.09
40.22,0.21
40.23,0.12
40.24,0.01
40.25,0.04
40.26,0.12
40.27,0.13
40.28,0.03
40.29,0.01
40.30,0.10
40.31,0.13
40.32,0.06
40.33,0.02
40.34,0.05
40.35,0.11
40.36,0.06
40.37,0.02
40.38,0.05
40.39,0.09
40.40,0.07
40.41,0.03
40.42,0.04
40.43,0.07
40.44,0.05
40.45,0.05
40.46,0.05
40.47,0.08
40.48,0.06
40.49,0.03
40.50,0.04
40.51,0.06
40.52,0.04
40.53,0.08
40.54,0.15
40.55,-0.03
40.56,-0.04
40.57,0.08
40.58,0.13
40.59,0.05
40.60,-0.00
40.61,0.07
40.62,0.12
40.63,0.09
40.64,0.02
40.65,0.06
40.66,0.12
40.67,0.09
40.68,0.03
40.69,0.06
40.70,0.09
